id,override,title,description,price,condition,availability,brand,link,image_link
1262374739,de_DE,"Mini wallet or card holder purse, dog poop bag, small bag, mini wallet vegan, key case, wallet women, small bag vegan leather, r lovely","Midi accessory for beauty articles, mobile phone, money, cards and keys🛍️📱🔑
+ place for the dog waste bags selectable
--------------------

PRODUCT INFORMATION:
👏🏽Handmade

-------------------

MATERIAL & DIMENSIONS
Body: High Quality Vegan Leather
Interior: Without lining
Details: Plastic zip in silver
Weight: 100 gr
Bag: approx. 18 x 12 cm (WxH)","25.00 EUR",new,"in stock",http://localhost,https://rlovelyshop.etsy.com/listing/1262374739/mini-wallet-or-card-holder-purse-dog?utm_source=fbigshoppingintegrat&utm_medium=api&utm_campaign=api,https://i.etsystatic.com/32077465/r/il/51d151/3746628716/il_fullxfull.3746628716_dq8u.jpg
1246844878,de_DE,"Small bag or card holder wallet or card holder purse, accessoire bag, mini wallet, key case, wallet women, small bag vegan leather, r lovely","SUMMER SPECIAL Mini + Midi + Maxi Accessory

The right little bag for your valuables at the beach or swimming pool 🛍️📱🔑.

Choose from:
- MINI accessory - for cards, notes and keys.
- MIDI accessory with wrist chain incl. - for beauty articles, mobile phone, keys, banknotes, cards (mini accessory has room in the midi)
- MAXI accessory with wrist chain incl. - earpods, beauty articles, mobile phone, keys, bank notes, cards (mini accessory has room in maxi) optional with necklace 96 cm silver metal
 
BUNDLE 1: 15% discount on all 3 accessories
BUNDLE 2: 15% discount on all 3 accessories + necklace
-----------------------

PRODUCT INFORMATION:
Handmade

-----------------------

material & dimensions
Body: High Quality Vegan Leather
Interior: Without lining
Details: Plastic zip in silver, wrist chain silver metal
Weight: 100 gr
Bag: 
Mini approx. 13 x 9 cm (WxH)
Midi ca. 18 x 12 cm (WxH)
Maxi approx. 20 x 13 x 4 cm (WxHxD)","13.00 EUR",new,"in stock",http://localhost,https://rlovelyshop.etsy.com/listing/1246844878/small-bag-or-card-holder-wallet-or-card?utm_source=fbigshoppingintegrat&utm_medium=api&utm_campaign=api,https://i.etsystatic.com/32077465/r/il/fe7d24/3958741965/il_fullxfull.3958741965_4fbi.jpg
1246842924,de_DE,"Bag strap, adjustable for bag, accessories, purse strap, bag chain, crossbody chain, cross body bag strap, purse strap, r lovely","Bag strap as shoulder chain or crossbody chain

2 lengths available:
80cm: 33 links of your choice, perfect as shoulder chain on your bag
107cm: 45 links of your choice, perfect as a long necklace on your bag

Available in the following colours:
👉🏻Gold
👉🏻Silver
👉🏻Metal gun
👉🏻Marbled brown
👉🏻Pink
👉🏻Turquoise
👉🏻Purple
👉🏻Pink
👉🏻Yellow

------------------------------

2 pieces snap rings:
The snap rings open by a spring and can be hooked and unhooked anywhere and are available in 3 colours.   

2 pieces carabiner rings                      
The snap rings are easy to open and close and are available in 3 colours.

When ordering, please tell me which colour and which rings (snap rings or carabiner rings) you would like to have.

Material snap rings and carabiners: nickel-free aluminium.","25.00 EUR",new,"in stock",http://localhost,https://rlovelyshop.etsy.com/listing/1246842924/bag-strap-adjustable-for-bag-accessories?utm_source=fbigshoppingintegrat&utm_medium=api&utm_campaign=api,https://i.etsystatic.com/32077465/r/il/371c69/3835041855/il_fullxfull.3835041855_qi8q.jpg
1197710907,de_DE,"Bracelet colourful","The bracelet consists of 8 links with a snap ring in gold, silver or metal gun

Chain Pink / Turquoise / Purple / Pink / Yellow with 1 x snap ring Silver - Diameter 25 mm 

Chain links made of matt plastic 
Snap rings made of nickel-free aluminium.

To make your bracelet even more individual, you can add an additional set in another colour: https://www.etsy.com/de/listing/1132939524/zusatzkettenglieder-farbe-auswahlbar

Have a look at my shop and discover more products: https://www.etsy.com/de/shop/RLovelyShop?ref=simple-shop-header-name&listing_id=1154681902","22.00 EUR",new,"in stock",http://localhost,https://rlovelyshop.etsy.com/listing/1197710907/bracelet-colourful?utm_source=fbigshoppingintegrat&utm_medium=api&utm_campaign=api,https://i.etsystatic.com/32077465/r/il/8e5d36/3741534932/il_fullxfull.3741534932_9djo.jpg
1197687199,de_DE,"Basic chain colourful and matt","The chains can be worn as a bag chain, necklace and waist chain. 

As you can see in the video, you can create over 80 new colour combinations from the basic chain with the additional set. 

Here you choose your base in 3 lengths and 7 colours. 

The 53 cm chain can be used as a short necklace or as a short handle for any bag. 
With the 80 cm chain, you have more possibilities e.g.: a long necklace, a shoulder chain for the bag. 
You can even use the 107 cm chain as a waist belt and long necklace for the bag. 

You can shorten the length of the chain as you like. The long 107 cm chain quickly become 2 short necklaces or 4 bracelets. 
The chains consist of links that can easily be inserted into each other. Voilá lEGO for lADYS! 

53 cm chain length - 23 pieces of links in your choice of colour
80 cm chain length - 33 pieces of links in the colour of your choice
107 cm chain length - 45 links of your chosen colour

The nickel-free aluminium snap rings are silver.

... and with the ADDITIONAL SET containing 3 - 6 or 9 more pieces of each of the 3 colours, your basic chain can be transformed into anything you want: https://www.etsy.com/de/listing/1146761941/zusatzkettenglieder-3er-und-6er-set","39.00 EUR",new,"in stock",http://localhost,https://rlovelyshop.etsy.com/listing/1197687199/basic-chain-colourful-and-matt?utm_source=fbigshoppingintegrat&utm_medium=api&utm_campaign=api,https://i.etsystatic.com/32077465/r/il/ebe351/3760255152/il_fullxfull.3760255152_3eiz.jpg
1171956700,de_DE,"Small bag pink leather unique bag, shoulder bag, crossbody bag, clutch bag, customise rlovely, bag for women, pochette","&quot;Denny&quot; shoulder and shoulder bag🛍️

PRODUCT INFORMATION:
This PRE ORDER piece is a design draft and will be handmade by me after order. Production time approx. 4-6 weeks. The black and white photos show a midi bag and serve as an example of how the bag looks and is finished when worn. 

COLOUR COMBINATION: Front &quot;Cloud Dancer grey&quot; warm light grey. Back side pink elephant. Side painted red.
HANDS: Short acrylic chain in metal gun. Leather shoulder strap in black.   

PRODUCT INFORMATION:
&quot;Denny&quot; is a shoulder bag and available in mini or midi size. It is lined in black and has a zipped compartment inside and out.

---------------------------------------------------

material & dimensions
	
Body: High quality vegan leather
	Interior: Zipped compartment, black cotton lining
	Details: Zippers and metal details in Metal Gun
Length shoulder strap approx. 100 cm, short handle approx. 57 cm
Bag: approx. mini 30 x 26 x 5. midi 35 x 30 x 5 (WxHxD)
	Weight: approx. 500 gr","185.00 EUR",new,"in stock",http://localhost,https://rlovelyshop.etsy.com/listing/1171956700/small-bag-pink-leather-unique-bag?utm_source=fbigshoppingintegrat&utm_medium=api&utm_campaign=api,https://i.etsystatic.com/32077465/r/il/36f339/3702203104/il_fullxfull.3702203104_3swg.jpg
1170763988,de_DE,"Bag strap, adjustable for bag, accessories, purse strap, bag chain, crossbody chain, cross body bag strap, purse strap, r lovely","Metal chain 🌈Rainbow🌈 in 3 lengths

👉🏻Long 120 cm
👉🏻Standard length 100 cm
👉🏻Short 93 cm","35.00 EUR",new,"in stock",http://localhost,https://rlovelyshop.etsy.com/listing/1170763988/bag-strap-adjustable-for-bag-accessories?utm_source=fbigshoppingintegrat&utm_medium=api&utm_campaign=api,https://i.etsystatic.com/32077465/r/il/d55c87/3702331406/il_fullxfull.3702331406_94eu.jpg
1165765588,de_DE,"CUSTOM, Accessory or small bag with detail selfmade, crossbody bag, clutch bag, rlovely, make up bag or cosmetic bag, pochette","MODEL &quot;Jeannie CUSTOM&quot; Accessories and/or optional small shoulder bag
⚡FLASH
☮️PEACE
💙LGBTQ
❤️LETTER & HEART 1+2
 Accessory and/or optional small shoulder bag.

CREATE YOUR DESIGN - The accessory will be handmade to your request and individual work for you! Production time 2 - 5 weeks.

The accessory &quot;Jeannie&quot; is available in 2 sizes. It is suitable as a larger accessory/make-up bag or as a small cosmetic bag.


How and what can you choose: 
1. the size 
2. the motif of the negative appliqué. 

Let me know your preference and the following colours in the comments when you complete your order: 
👉🏻 Desired main colour for the bag: 
👉🏻 Desired symbol- colour: * (❗)
👉🏻 Desired colour of the zip: The colour names can be seen in the photos.


* (❗) Letter & Heart 2: The letter and heart are highlighted in different colours. Choose two colours for the appliqué instead of one. 

-----------------------------------------

You can also quickly turn &quot;Jeannie&quot; into a shoulder bag with the side flaps. Of course you can also get these options from me.
- Attach the snap rings: https://www.etsy.com/listing/1146861719/snap-rings-carabiner
- attach an additional chain: https://www.etsy.com/shop/RLovelyShop

Due to the negative appliqués (motif is not sewn on the back) &quot;Jeannie&quot; is a doubleface bag and the sides are different colours.


---------------------------------------- 

material & dimensions
	
Body: High Quality Vegan Leather
	Interior: Unlined, the appliqué is visible on the inside.
	Zips and metal details available in silver & gold & metal gun
Thougt Details: &quot;Jeannie&quot; can be worn as a simple accessory or with the optionals as a bag.
Snap rings optional - Necklace optional - Short acrylic chain optional 
Bag: Size &quot;Small&quot; approx. 26 x 15 x 3  
Size &quot;Medium&quot; approx. 29 x 17 x 4 cm (WxHxD)
	Weight: 150 gr. &quot;

---------------------------------------

Have a look at my shop and discover more products: https://www.etsy.com/de/shop/RLovelyShop","69.00 EUR",new,"in stock",http://localhost,https://rlovelyshop.etsy.com/listing/1165765588/custom-accessory-or-small-bag-with?utm_source=fbigshoppingintegrat&utm_medium=api&utm_campaign=api,https://i.etsystatic.com/32077465/r/il/3d0c61/3691025916/il_fullxfull.3691025916_l5cg.jpg
1167785694,de_DE,"ONLINE ATELIER, customized, personalized bag, shoulder bag, backpack, purse, selfmade, unique piece, handbag women, shopper bag ","Hello! Do you want a personalized and exclusively handmade unique piece? 

Yes!🛍️😍

After receiving your order, I will send you a detailed questionnaire, which you return to me. This way I get to know your wishes and requirements for your unique piece! 
Within 5 days I will send you 5 personalized design drafts. 

The 30,00€ is a deposit when you order your unique piece. Of course, we will continue to customize your design until it is perfect for you and I will begin cutting and sewing! 

If you don&#39;t like the designs, you will get €15.00 back and €15.00 is a small compensation for me.","30.00 EUR",new,"in stock",http://localhost,https://rlovelyshop.etsy.com/listing/1167785694/online-atelier-customized-personalized?utm_source=fbigshoppingintegrat&utm_medium=api&utm_campaign=api,https://i.etsystatic.com/32077465/r/il/7f0553/3989636548/il_fullxfull.3989636548_eyyf.jpg
1146761941,de_DE,"The 3-piece and 6-piece additional set of chain links","The 3-piece and 6-piece additional set of chain links

You want to make your chains so unique and let your creativity run wild?
Then come to the BLACK BUT CRAZY CHAIN WORLD

The 3 piece add-on set contains 3 pieces of the 9 colours and the 6 piece set contains 6 pieces of the 9 colours. 
With this large number of elegant and colourful chain links, you can design your chain the way you want.

---------------------------------------------------------------

3 pieces x 9 colours - 27 pieces of links
6 pieces x 9 colours - 54 pieces of links
For comparison: A 53 cm long chain consists of 23 links. An 80 cm long chain consists of 33 links, a 107 cm long chain consists of 45 links.

Colours: Black, Gold, Metal Gun, Pink, Turquoise, Purple, Pink, Pastel Yellow, Marmorised Brown

2-coloured, brightly coloured, shorter, longer, as a bracelet, as a headband... lez your creativity run wild!
With this big set you can create more than 80 different combinations. 

------------------------------------------------------------------


If you like, you can also attach the finer additional chains to give the large chain links even more style.

Feel free to get more snap rings so that your second bracelet or necklace can be full Unicorn on the Rainbow!

Chain links: matt plastic","29.00 EUR",new,"in stock",http://localhost,https://rlovelyshop.etsy.com/listing/1146761941/the-3-piece-and-6-piece-additional-set?utm_source=fbigshoppingintegrat&utm_medium=api&utm_campaign=api,https://i.etsystatic.com/32077465/r/il/30fe51/3551198486/il_fullxfull.3551198486_r98b.jpg
